dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples,centroid_method
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,0.18320371210575104,0.75,100.107884,2400,6,0.01,,20,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,0.19495829939842224,1.0,106.548085,3200,8,0.01,,20,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,0.20937393605709076,0.875,112.036343,4000,10,0.01,,20,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,0.18774089217185974,0.9166666666666666,193.367334,800,2,0.01,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,0.1613566279411316,1.0,200.397377,1600,4,0.01,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,0.19444161653518677,0.9166666666666666,204.720684,2400,6,0.01,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,0.18319734930992126,0.8333333333333334,215.053362,3200,8,0.01,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,0.17441493272781372,0.625,84.920614,800,2,0.0,,20,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,0.1994016021490097,0.875,90.653513,1600,4,0.0,,20,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,0.18320371210575104,0.75,97.414645,2400,6,0.0,,20,off
