dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1605 grad_fn=<SqueezeBackward0>),0.9,146.012349,160,2,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1419 grad_fn=<SqueezeBackward0>),0.9,146.497490,160,2,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1857 grad_fn=<SqueezeBackward0>),0.9666666666666667,211.192781,320,4,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.1434 grad_fn=<SqueezeBackward0>),0.9,243.097730,480,6,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1854 grad_fn=<SqueezeBackward0>),0.9666666666666667,264.216254,640,8,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1930 grad_fn=<SqueezeBackward0>),0.9666666666666667,280.694654,800,10,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1529 grad_fn=<SqueezeBackward0>),0.9,147.155734,320,4,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.1229 grad_fn=<SqueezeBackward0>),0.7666666666666667,165.315215,480,6,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1625 grad_fn=<SqueezeBackward0>),0.9666666666666667,176.980946,640,8,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1196 grad_fn=<SqueezeBackward0>),0.9,137.217821,160,2,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1695 grad_fn=<SqueezeBackward0>),1.0,199.966247,800,10,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1196 grad_fn=<SqueezeBackward0>),0.7333333333333333,161.545713,320,4,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.0959 grad_fn=<SqueezeBackward0>),0.8333333333333334,126.211134,160,2,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.1006 grad_fn=<SqueezeBackward0>),0.7333333333333333,170.445436,480,6,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1325 grad_fn=<SqueezeBackward0>),0.9666666666666667,188.448027,640,8,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1409 grad_fn=<SqueezeBackward0>),0.9333333333333333,192.868928,800,10,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.0899 grad_fn=<SqueezeBackward0>),0.7333333333333333,157.111137,320,4,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.0790 grad_fn=<SqueezeBackward0>),0.7333333333333333,157.600977,480,6,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1006 grad_fn=<SqueezeBackward0>),0.9666666666666667,173.759365,640,8,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.0733 grad_fn=<SqueezeBackward0>),0.8333333333333334,225.962916,160,2,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.0672 grad_fn=<SqueezeBackward0>),0.7333333333333333,241.611479,320,4,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.0603 grad_fn=<SqueezeBackward0>),0.7333333333333333,271.310185,480,6,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1078 grad_fn=<SqueezeBackward0>),0.9333333333333333,295.728991,800,10,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.0728 grad_fn=<SqueezeBackward0>),0.8666666666666667,283.666323,640,8,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.0540 grad_fn=<SqueezeBackward0>),0.7666666666666667,130.371185,160,2,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.0779 grad_fn=<SqueezeBackward0>),0.8333333333333334,186.521025,800,10,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.0501 grad_fn=<SqueezeBackward0>),0.7666666666666667,171.639986,320,4,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.0454 grad_fn=<SqueezeBackward0>),0.7333333333333333,191.678017,480,6,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.0516 grad_fn=<SqueezeBackward0>),0.7666666666666667,196.267807,640,8,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.0553 grad_fn=<SqueezeBackward0>),0.7666666666666667,196.498958,800,10,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.0388 grad_fn=<SqueezeBackward0>),0.7666666666666667,140.163026,160,2,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.0369 grad_fn=<SqueezeBackward0>),0.7666666666666667,150.244850,320,4,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.0276 grad_fn=<SqueezeBackward0>),0.7666666666666667,142.621774,160,2,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.0337 grad_fn=<SqueezeBackward0>),0.7333333333333333,162.527658,480,6,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.0365 grad_fn=<SqueezeBackward0>),0.7333333333333333,166.030411,640,8,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.0393 grad_fn=<SqueezeBackward0>),0.7666666666666667,179.041036,800,10,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.0269 grad_fn=<SqueezeBackward0>),0.8,154.022529,320,4,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.0248 grad_fn=<SqueezeBackward0>),0.7333333333333333,161.147651,480,6,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.0196 grad_fn=<SqueezeBackward0>),0.8,148.978214,160,2,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.0194 grad_fn=<SqueezeBackward0>),0.8,169.486270,320,4,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.0261 grad_fn=<SqueezeBackward0>),0.7666666666666667,186.228670,640,8,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.0281 grad_fn=<SqueezeBackward0>),0.7666666666666667,189.726370,800,10,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.0182 grad_fn=<SqueezeBackward0>),0.8,160.519330,480,6,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.0188 grad_fn=<SqueezeBackward0>),0.7666666666666667,166.101145,640,8,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.0140 grad_fn=<SqueezeBackward0>),0.8,194.187968,160,2,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.0140 grad_fn=<SqueezeBackward0>),0.8,210.783732,320,4,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.0132 grad_fn=<SqueezeBackward0>),0.8,221.361953,480,6,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.0201 grad_fn=<SqueezeBackward0>),0.8,247.003665,800,10,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.0136 grad_fn=<SqueezeBackward0>),0.8,140.125517,640,8,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.0144 grad_fn=<SqueezeBackward0>),0.8,152.360903,800,10,0.1,,60
