dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.0454 grad_fn=<SqueezeBackward0>),0.7333333333333333,185.606637,480,6,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.0516 grad_fn=<SqueezeBackward0>),0.7666666666666667,194.568834,640,8,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.0553 grad_fn=<SqueezeBackward0>),0.7666666666666667,188.070885,800,10,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.0388 grad_fn=<SqueezeBackward0>),0.7666666666666667,142.926009,160,2,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.0369 grad_fn=<SqueezeBackward0>),0.7666666666666667,152.760052,320,4,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.0337 grad_fn=<SqueezeBackward0>),0.7333333333333333,155.315649,480,6,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.0276 grad_fn=<SqueezeBackward0>),0.7666666666666667,127.815192,160,2,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.0365 grad_fn=<SqueezeBackward0>),0.7333333333333333,184.664333,640,8,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.0393 grad_fn=<SqueezeBackward0>),0.7666666666666667,186.355530,800,10,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.0269 grad_fn=<SqueezeBackward0>),0.8,162.119655,320,4,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.0248 grad_fn=<SqueezeBackward0>),0.7333333333333333,216.233253,480,6,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.0261 grad_fn=<SqueezeBackward0>),0.7666666666666667,230.413279,640,8,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.0196 grad_fn=<SqueezeBackward0>),0.8,214.563094,160,2,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.0281 grad_fn=<SqueezeBackward0>),0.7666666666666667,273.314794,800,10,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.0194 grad_fn=<SqueezeBackward0>),0.8,222.924683,320,4,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.0182 grad_fn=<SqueezeBackward0>),0.8,200.801160,480,6,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.0188 grad_fn=<SqueezeBackward0>),0.7666666666666667,225.254234,640,8,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.0201 grad_fn=<SqueezeBackward0>),0.8,258.253754,800,10,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.0140 grad_fn=<SqueezeBackward0>),0.8,208.617565,160,2,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.0140 grad_fn=<SqueezeBackward0>),0.8,221.185440,320,4,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.0132 grad_fn=<SqueezeBackward0>),0.8,226.683617,480,6,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.0136 grad_fn=<SqueezeBackward0>),0.8,138.395006,640,8,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.0144 grad_fn=<SqueezeBackward0>),0.8,150.353355,800,10,0.1,,60
