dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0454 grad_fn=<SqueezeBackward0>),0.7333333333333333,169.664368,480,6,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.0516 grad_fn=<SqueezeBackward0>),0.7666666666666667,171.748688,640,8,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.0553 grad_fn=<SqueezeBackward0>),0.7666666666666667,179.584357,800,10,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.0388 grad_fn=<SqueezeBackward0>),0.7666666666666667,142.368430,160,2,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.0369 grad_fn=<SqueezeBackward0>),0.7666666666666667,137.455767,320,4,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0337 grad_fn=<SqueezeBackward0>),0.7333333333333333,176.303084,480,6,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.0365 grad_fn=<SqueezeBackward0>),0.7333333333333333,177.826738,640,8,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.0393 grad_fn=<SqueezeBackward0>),0.7666666666666667,182.561039,800,10,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.0276 grad_fn=<SqueezeBackward0>),0.7666666666666667,145.315009,160,2,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.0269 grad_fn=<SqueezeBackward0>),0.8,143.296255,320,4,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0248 grad_fn=<SqueezeBackward0>),0.7333333333333333,164.498164,480,6,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.0196 grad_fn=<SqueezeBackward0>),0.8,132.686611,160,2,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.0261 grad_fn=<SqueezeBackward0>),0.7666666666666667,193.066173,640,8,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.0281 grad_fn=<SqueezeBackward0>),0.7666666666666667,197.282769,800,10,0.08,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.0194 grad_fn=<SqueezeBackward0>),0.8,152.951007,320,4,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0182 grad_fn=<SqueezeBackward0>),0.8,156.509817,480,6,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.0188 grad_fn=<SqueezeBackward0>),0.7666666666666667,171.908109,640,8,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.0201 grad_fn=<SqueezeBackward0>),0.8,206.174387,800,10,0.09,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.0140 grad_fn=<SqueezeBackward0>),0.8,149.578560,160,2,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.0140 grad_fn=<SqueezeBackward0>),0.8,157.869635,320,4,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0132 grad_fn=<SqueezeBackward0>),0.8,160.132823,480,6,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.0136 grad_fn=<SqueezeBackward0>),0.8,146.193905,640,8,0.1,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.0144 grad_fn=<SqueezeBackward0>),0.8,149.347712,800,10,0.1,,60
