dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep2,tensor(0.1605 grad_fn=<SqueezeBackward0>),0.9,153.055184,160,2,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep2,tensor(0.1419 grad_fn=<SqueezeBackward0>),0.9,154.457545,160,2,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep2,tensor(0.1857 grad_fn=<SqueezeBackward0>),0.9666666666666667,207.620685,320,4,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep2,tensor(0.1434 grad_fn=<SqueezeBackward0>),0.9,232.552338,480,6,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep2,tensor(0.1854 grad_fn=<SqueezeBackward0>),0.9666666666666667,290.598580,640,8,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep2,tensor(0.1930 grad_fn=<SqueezeBackward0>),0.9666666666666667,293.426895,800,10,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep2,tensor(0.1529 grad_fn=<SqueezeBackward0>),0.9,151.185257,320,4,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep2,tensor(0.1229 grad_fn=<SqueezeBackward0>),0.7666666666666667,175.476631,480,6,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep2,tensor(0.1625 grad_fn=<SqueezeBackward0>),0.9666666666666667,189.485057,640,8,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep2,tensor(0.1695 grad_fn=<SqueezeBackward0>),1.0,194.996234,800,10,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep2,tensor(0.1196 grad_fn=<SqueezeBackward0>),0.9,134.941796,160,2,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep2,tensor(0.1196 grad_fn=<SqueezeBackward0>),0.7333333333333333,140.526424,320,4,0.03,,60
