method,epoch,n_sv,sv_fraction,test_accuracy,train_accuracy,margin,proximity_ratio,local_block_ratio,global_block_ratio,block_ratio_lift,local_kta,global_kta,kta_lift,sv4_sv_sep,sv4_non_sv_sep,sv4_sv_within,sv4_sv_between,sv4_non_sv_within,sv4_non_sv_between,dataset,centroids
fullKTA,1,29,0.9666666666666667,0.43333333333333335,0.8333333333333334,0.20512895641682838,,1.007480175194597,1.0397767113003078,0.9689389694425683,0.06739983234759006,0.07582965930434807,0.8888320596060248,,,,,,,checkerboard,4
fullKTA,2,27,0.9,0.5,0.8333333333333334,0.21251960344450105,,0.9781283590109069,1.084357927936698,0.9020345899825468,0.07086472816748123,0.09238387369348056,0.7670681608989002,,,,,,,checkerboard,4
fullKTA,3,27,0.9,0.4666666666666667,0.9,0.2146603723528692,,0.9934940576218324,1.1247978502022886,0.8832645415839224,0.08063564074727107,0.10494575468660976,0.7683554319203347,,,,,,,checkerboard,4
fullKTA,4,26,0.8666666666666667,0.5333333333333333,0.9,0.2135655338851899,,0.9726218126325027,1.1474549514116794,0.8476339845421834,0.08448857344066464,0.11202804120920361,0.7541734413393116,,,,,,,checkerboard,4
fullKTA,5,24,0.8,0.5666666666666667,0.9,0.21438226324993642,,0.8856952911453833,1.176863302696218,0.7525897774541683,0.07571314136149067,0.11978243238929653,0.6320888613466438,,,,,,,checkerboard,4
fullKTA,6,24,0.8,0.5666666666666667,0.9,0.2183439085213602,,0.9135584305841973,1.2252360617569034,0.7456183008518833,0.08506119479341492,0.13069734048256496,0.6508257506561851,,,,,,,checkerboard,4
fullKTA,7,25,0.8333333333333334,0.5666666666666667,0.9,0.22427760979255476,,1.0174497279131427,1.296031120285482,0.7850503833661957,0.10615065202727639,0.14547341833862562,0.7296910539849637,,,,,,,checkerboard,4
fullKTA,8,25,0.8333333333333334,0.5666666666666667,0.9,0.23144850749066434,,1.0794102780582047,1.3894237721738874,0.7768762127134731,0.12145023697251914,0.1633849383714533,0.7433380219054829,,,,,,,checkerboard,4
fullKTA,9,23,0.7666666666666667,0.5666666666666667,0.9,0.23591956983222195,,1.0338944581111513,1.5084609886039646,0.6853968818904955,0.12439592993916782,0.18199556684772622,0.6835107691106427,,,,,,,checkerboard,4
fullKTA,10,23,0.7666666666666667,0.5666666666666667,0.9,0.2439096950652539,,1.1276217929589467,1.6894743059958879,0.6674394448559002,0.1463748576856204,0.20310772647933925,0.7206759691066824,,,,,,,checkerboard,4
fullKTA,11,24,0.8,0.5666666666666667,0.9,0.2490079596325978,,1.3413092102192585,1.9309916904160567,0.694621948300976,0.1772359556037693,0.22370741204792943,0.7922668002013707,,,,,,,checkerboard,4
