eff_rank,participation_ratio,top1_label_energy,top2_label_energy,top3_label_energy,top1_alignment,top2_alignment,max_alignment,argmax_alignment_rank,kta_spectral,kta_top1_frac,kta_top2_frac,lambda1,lambda2,spectral_decay,method,dataset,epoch,centroids,test_accuracy,n_sv
5.196892249982257,3.802327858101138,0.3003210615823723,0.6336713961594258,0.8792116646245542,0.32293997565281135,0.42450445051358954,0.42450445051358954,1,0.002256817650094937,0.3003210614566927,0.6336713958942443,17.705717086791992,11.373856544494629,1.5567030424135835,fullKTA,corners,1,4,0.85,55
4.6047460564899225,3.3763396658192573,0.32903313679947666,0.7246439181684363,0.8985602411190683,0.34825180675830936,0.46439201233438226,0.46439201233438226,1,0.002408524418881996,0.32903313666325185,0.7246439178684226,18.766855239868164,12.689288139343262,1.478952564855066,fullKTA,corners,2,4,0.83,54
4.213472465397461,3.0000283038510958,0.314513467918634,0.7817185589810011,0.9042569233927077,0.34775980766859155,0.5077978633460082,0.5077978633460082,1,0.002498504209032309,0.3145134677959772,0.7817185586761395,19.02973747253418,13.258004188537598,1.435339527874428,fullKTA,corners,3,4,0.82,51
3.8283066763636953,2.5330358180769528,0.25024370611104524,0.8189814052805646,0.9076395958028709,0.3167659498750846,0.5593724442412518,0.5593724442412518,1,0.0025932617858560316,0.2502437060148946,0.8189814049658891,19.12367057800293,13.937823295593262,1.3720700982088008,fullKTA,corners,4,4,0.82,51
3.392439617992128,2.0570661671721884,0.15612991926601183,0.8313349783482886,0.9012531453137873,0.25433241315183475,0.6060971707221446,0.6060971707221446,1,0.0026728517869107756,0.15612991920829283,0.831334978040956,19.15254783630371,14.584616661071777,1.3132020046452793,fullKTA,corners,5,4,0.81,51
2.974335588217261,1.7329347446839898,0.08158798787551462,0.8338972474147988,0.8881688182231304,0.18639168664811176,0.6406272702995279,0.6406272702995279,1,0.0027386924896927365,0.08158798784582963,0.8338972471113936,18.934083938598633,14.779397010803223,1.281113425991412,fullKTA,corners,6,4,0.85,49
2.6693942505081316,1.5769385391960051,0.04088303743109507,0.8335612425945788,0.876624469745756,0.13438741322605455,0.6647046182071126,0.6647046182071126,1,0.0028174234459496,0.04088303741693661,0.8335612423059028,18.305139541625977,14.50730037689209,1.2617881388036882,fullKTA,corners,7,4,0.89,51
2.521013723872302,1.5065865674810641,0.02067607713618306,0.832771404879136,0.8697927204325074,0.09792322404681658,0.6847969323395998,0.6847969323395998,1,0.0029165245881459492,0.020676077129430488,0.8327714046071625,17.37318992614746,13.952956199645996,1.2451260992697013,fullKTA,corners,8,4,0.89,48
2.41652518271298,1.4663917430029387,0.01082553976834282,0.8340961101984486,0.8706182798992298,0.07269876450299491,0.7039887816644501,0.7039887816644501,1,0.003024393530050514,0.010825539764790571,0.8340961099247516,16.41856575012207,13.315296173095703,1.233060499494969,fullKTA,corners,9,4,0.91,47
2.2971126106595006,1.427830600740795,0.004757820834945082,0.839163438624355,0.8783005994981455,0.04922958500682818,0.723362638399631,0.723362638399631,1,0.003130079495762888,0.004757820833444683,0.8391634383597214,15.749736785888672,12.793301582336426,1.231092434155772,fullKTA,corners,10,4,0.91,46
2.2138763345445347,1.3833424865706436,0.0009052958385197587,0.8493450406868607,0.8868606916714591,0.02180425152182361,0.7421801240415502,0.7421801240415502,1,0.003229764208352015,0.0009052958382397273,0.8493450404241364,15.48704719543457,12.527454376220703,1.2362485410308461,fullKTA,corners,11,4,0.92,47
2.066875690631989,1.3379025187445086,0.00015558177600360785,0.8632266685598666,0.8932673200371576,0.009144234098493131,0.7584018734981479,0.7584018734981479,1,0.0033210469133315057,0.0001555817759570857,0.8632266683017441,15.523682594299316,12.519254684448242,1.2399845666197697,fullKTA,corners,12,4,0.92,46
1.9790074674432927,1.3085710594981563,0.004372049597582335,0.8772945492005029,0.8997534693626106,0.04903151616453634,0.7701623883563256,0.7701623883563256,1,0.0034092632911171873,0.004372049596312547,0.8772945489457076,15.653820037841797,12.66767692565918,1.2357293393023594,fullKTA,corners,13,4,0.95,44
2.0305699453225303,1.3250532924111182,0.02118491904390047,0.888632296353662,0.9062563439962782,0.10934574473648172,0.7740408515265834,0.7740408515265834,1,0.0035004200032688264,0.021184919037850747,0.8886322960998977,15.733168601989746,12.8560791015625,1.2237921435997035,fullKTA,corners,14,4,0.95,43
2.2557194902932296,1.4319861323616536,0.06333006206220512,0.8957298441311031,0.9122650306280509,0.1911829372867751,0.7642389054729537,0.7642389054729537,1,0.0035853941671702364,0.06333006204454872,0.8957298438813739,15.805105209350586,13.000480651855469,1.2157323742559947,fullKTA,corners,15,4,0.94,42
2.555051786552807,1.6364480739273022,0.12901120411926847,0.8991320509408005,0.9181017968704238,0.27424813229587913,0.7410638769971397,0.7410638769971397,1,0.0036507781243668765,0.12901120408394431,0.899132050694612,15.989228248596191,13.071788787841797,1.2231859394382743,fullKTA,corners,16,4,0.94,42
2.756661647134233,1.8505349222458516,0.1923805921902517,0.9008371355841251,0.9229269044161691,0.3348023880272768,0.7164199462858244,0.7164199462858244,1,0.0036952953733236952,0.19238059213821104,0.9008371353404407,16.272916793823242,13.087573051452637,1.2433868930355891,fullKTA,corners,17,4,0.93,42
2.874634301141543,2.0056403417561492,0.23981365527809556,0.9028458070106349,0.9256984179497469,0.37335718348618585,0.698645539849461,0.698645539849461,1,0.0037334054278543873,0.23981365521388592,0.9028458067688998,16.550691604614258,13.06808853149414,1.266496746232302,fullKTA,corners,18,4,0.94,44
2.9581750832642077,2.1247497581956307,0.28186847776774815,0.9063150541159127,0.9274615150486748,0.4050123932770979,0.6851544909644186,0.6851544909644186,1,0.003784792150673872,0.281868477693303,0.9063150538765431,16.812795639038086,13.015124320983887,1.2917890927810838,fullKTA,corners,19,4,0.94,43
