,config.name,config.n_qubits,config.ansatz,config.train_method,config.lambda_kao,config.lambda_co,config.clusters,accuracy_train_init,accuracy_test_init,accuracy_train_final,accuracy_test_final
52,double_cake,10,embedding_paper,ccka,0.01,0.01,4,1.0,0.6999999999999998,1.0,0.75
53,double_cake,10,embedding_paper,ccka,0.01,0.01,6,1.0,0.6999999999999998,1.0,0.6999999999999998
54,double_cake,10,embedding_paper,ccka,0.01,0.01,8,1.0,0.6999999999999998,1.0,0.65
55,double_cake,10,embedding_paper,full,0.01,0.01,2,1.0,0.7,1.0,0.65
56,double_cake,10,embedding_paper,quack,0.01,0.01,2,1.0,0.7,1.0,0.65
57,double_cake,10,embedding_paper,random,0.01,0.01,10,1.0,0.6999999999999998,1.0,0.65
58,double_cake,10,embedding_paper,random,0.01,0.01,2,1.0,0.6999999999999998,1.0,0.65
59,double_cake,10,embedding_paper,random,0.01,0.01,4,1.0,0.6999999999999998,1.0,0.65
60,double_cake,10,embedding_paper,random,0.01,0.01,6,1.0,0.6999999999999998,1.0,0.65
61,double_cake,10,embedding_paper,random,0.01,0.01,8,1.0,0.6999999999999998,1.0,0.65
62,double_cake,10,he,ccka,0.01,0.01,10,1.0,0.6999999999999998,1.0,0.75
63,double_cake,10,he,ccka,0.01,0.01,2,1.0,0.6999999999999998,1.0,0.6999999999999998
64,double_cake,10,he,ccka,0.01,0.01,4,1.0,0.6999999999999998,1.0,0.75
65,double_cake,10,he,ccka,0.01,0.01,6,1.0,0.6999999999999998,1.0,0.75
66,double_cake,10,he,ccka,0.01,0.01,8,1.0,0.6999999999999998,1.0,0.75
67,double_cake,10,he,full,0.01,0.01,2,1.0,0.7,1.0,0.65
68,double_cake,10,he,quack,0.01,0.01,2,1.0,0.7,1.0,0.65
69,double_cake,10,he,random,0.01,0.01,10,1.0,0.6999999999999998,1.0,0.65
70,double_cake,10,he,random,0.01,0.01,2,1.0,0.6999999999999998,1.0,0.65
71,double_cake,10,he,random,0.01,0.01,4,1.0,0.6999999999999998,1.0,0.65
72,double_cake,10,he,random,0.01,0.01,6,1.0,0.6999999999999998,1.0,0.6999999999999998
73,double_cake,10,he,random,0.01,0.01,8,1.0,0.6999999999999998,1.0,0.65
