dataset,method,metric,epoch,mean,min,max,n_seeds
checkerboard,fullKTA,test_accuracy,69.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,70.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,71.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,72.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,73.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,74.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,75.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,76.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,77.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,78.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,79.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,80.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,81.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,82.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,83.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,84.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,85.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,86.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,87.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,88.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,89.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,90.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,91.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,92.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,93.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,94.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,95.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,96.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,97.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,98.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,99.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,fullKTA,test_accuracy,100.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,1.0,0.4366666666666667,0.36666666666666664,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,2.0,0.43,0.36666666666666664,0.5,10
checkerboard,randomKTA,test_accuracy,3.0,0.42666666666666664,0.36666666666666664,0.5,10
checkerboard,randomKTA,test_accuracy,4.0,0.42666666666666664,0.3,0.5666666666666667,10
checkerboard,randomKTA,test_accuracy,5.0,0.42666666666666664,0.3333333333333333,0.5,10
checkerboard,randomKTA,test_accuracy,6.0,0.45,0.3,0.5666666666666667,10
checkerboard,randomKTA,test_accuracy,7.0,0.45,0.3333333333333333,0.5666666666666667,10
checkerboard,randomKTA,test_accuracy,8.0,0.4533333333333333,0.4,0.6,10
checkerboard,randomKTA,test_accuracy,9.0,0.45666666666666667,0.4,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,10.0,0.4533333333333333,0.4,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,11.0,0.44000000000000006,0.36666666666666664,0.5,10
checkerboard,randomKTA,test_accuracy,12.0,0.44000000000000006,0.3333333333333333,0.5,10
checkerboard,randomKTA,test_accuracy,13.0,0.44666666666666666,0.3333333333333333,0.5,10
checkerboard,randomKTA,test_accuracy,14.0,0.45,0.3333333333333333,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,15.0,0.45,0.3333333333333333,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,16.0,0.4533333333333333,0.3333333333333333,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,17.0,0.4533333333333333,0.3333333333333333,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,18.0,0.4533333333333333,0.3333333333333333,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,19.0,0.45,0.3333333333333333,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,20.0,0.44000000000000006,0.3333333333333333,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,21.0,0.45666666666666667,0.36666666666666664,0.5333333333333333,10
checkerboard,randomKTA,test_accuracy,22.0,0.48,0.4,0.6333333333333333,10
checkerboard,randomKTA,test_accuracy,23.0,0.4966666666666667,0.4,0.7333333333333333,10
checkerboard,randomKTA,test_accuracy,24.0,0.5,0.4,0.7666666666666667,10
checkerboard,randomKTA,test_accuracy,25.0,0.5033333333333333,0.4,0.7333333333333333,10
checkerboard,randomKTA,test_accuracy,26.0,0.5166666666666667,0.4,0.8333333333333334,10
checkerboard,randomKTA,test_accuracy,27.0,0.5166666666666667,0.4,0.8333333333333334,10
checkerboard,randomKTA,test_accuracy,28.0,0.53,0.4,0.8333333333333334,10
checkerboard,randomKTA,test_accuracy,29.0,0.5433333333333333,0.4,0.9,10
checkerboard,randomKTA,test_accuracy,30.0,0.5566666666666666,0.4,0.9666666666666667,10
checkerboard,randomKTA,test_accuracy,31.0,0.5733333333333334,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,32.0,0.5933333333333334,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,33.0,0.6066666666666667,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,34.0,0.6133333333333333,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,35.0,0.6233333333333333,0.36666666666666664,1.0,10
checkerboard,randomKTA,test_accuracy,36.0,0.6433333333333333,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,37.0,0.6533333333333333,0.36666666666666664,1.0,10
