dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1641, grad_fn=<SqueezeBackward0>),0.875,358.196372,1600,4,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.1988, grad_fn=<SqueezeBackward0>),0.9375,368.292112,2400,6,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1939, grad_fn=<SqueezeBackward0>),0.875,374.784963,3200,8,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1605, grad_fn=<SqueezeBackward0>),0.9375,387.850307,4000,10,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1660, grad_fn=<SqueezeBackward0>),0.8125,368.806462,1600,4,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.2182, grad_fn=<SqueezeBackward0>),1.0,378.280409,2400,6,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.2078, grad_fn=<SqueezeBackward0>),0.8125,387.808297,3200,8,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1552, grad_fn=<SqueezeBackward0>),0.9375,397.248240,4000,10,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1764, grad_fn=<SqueezeBackward0>),1.0,1017.879906,800,2,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1810, grad_fn=<SqueezeBackward0>),1.0,1027.346321,1600,4,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.2161, grad_fn=<SqueezeBackward0>),0.9583333333333334,1178.243453,2400,6,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1852, grad_fn=<SqueezeBackward0>),1.0,1182.609163,3200,8,0.01,,60
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1822, grad_fn=<SqueezeBackward0>),1.0,1151.879278,800,2,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.2105, grad_fn=<SqueezeBackward0>),1.0,1203.253163,4000,10,0.01,,60
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1739, grad_fn=<SqueezeBackward0>),1.0,1213.927200,1600,4,0.01,,60
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.2357, grad_fn=<SqueezeBackward0>),1.0,1250.586833,2400,6,0.01,,60
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.2128, grad_fn=<SqueezeBackward0>),1.0,1480.805268,4000,10,0.01,,60
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1806, grad_fn=<SqueezeBackward0>),0.9166666666666666,1500.744069,3200,8,0.01,,60
