method,dataset,centroids,num_iterations,seed,step,epoch,train_accuracy,test_accuracy,f1_score,precision,recall,global_kta,centroid_kta,block_ratio,direction_diversity,circuit_executions,wall_time,margin,n_sv,eff_rank,participation_ratio,top1_label_energy,top2_label_energy,top3_label_energy,top1_alignment,top2_alignment,max_alignment,argmax_alignment_rank,kta_spectral,kta_top1_frac,kta_top2_frac,lambda1,lambda2,spectral_decay
fullKTA,checkerboard,0,100,0,0,1,0.6333333333333333,0.43333333333333335,0.3772893772893773,0.46153846153846156,0.4819004524886878,0.0014600742379893938,0.0014600742379893938,0.9438807419694829,6.715716723800694,1800,3.9630792140960693,0.7447930643902687,28,6.715716723800694,4.6760886340050725,2.2522698261911e-05,0.3728590149423973,0.536077542221504,0.0011950241816946184,0.16954873770433757,0.6355403633916916,15,0.0014600742379893938,2.2522698246525563e-05,0.3728590146876942,8.817817687988281,7.251425266265869,1.216011661736095
fullKTA,checkerboard,0,100,0,1,2,0.6,0.4,0.354066985645933,0.4,0.44343891402714936,0.0018226067916970587,0.0018226067916970587,0.9545817686139343,8.82293725209015,3600,4.011261940002441,0.7244776238467736,27,8.82293725209015,6.3793748711696985,0.0801721457839852,0.3355681946951506,0.4641288945155554,0.08137063164447873,0.15682327361517473,0.5647904295737383,14,0.0018226067916970587,0.08017214574011915,0.33556819451154507,7.984290599822998,6.847646713256836,1.1659904393672191
fullKTA,checkerboard,0,100,0,2,3,0.6666666666666666,0.4,0.354066985645933,0.4,0.44343891402714936,0.002163739964864286,0.002163739964864286,0.971708480482459,8.398195589831909,5400,4.058516979217529,0.6978400425886332,28,8.398195589831909,6.066756960927056,0.19248507601029424,0.30345098826457884,0.3667149504243232,0.1375452067039749,0.11529446679330982,0.5561504722849727,14,0.002163739964864286,0.1924850759215912,0.3034509881247393,7.6375226974487305,6.26641321182251,1.2188029163219243
fullKTA,checkerboard,0,100,0,3,4,0.7,0.43333333333333335,0.40070505287896596,0.45833333333333337,0.4728506787330317,0.00249706742335864,0.00249706742335864,0.997830900644945,7.817455543505601,7200,4.105084180831909,0.6722893212984297,28,7.817455543505601,5.4153956349196495,0.18824363921949366,0.27595799441731206,0.28378338788720897,0.1452493893073986,0.11373863977636459,0.5378257607480588,14,0.00249706742335864,0.18824363914433248,0.2759579943071287,7.47373628616333,5.67937707901001,1.3159429603263435
fullKTA,checkerboard,0,100,0,4,5,0.7333333333333333,0.43333333333333335,0.40070505287896596,0.45833333333333337,0.4728506787330317,0.00287709970636289,0.00287709970636289,1.0334068778061622,9.118948894694984,9000,4.151968955993652,0.6503859673676758,28,9.118948894694984,7.371513311091011,0.16655844625587468,0.25402054802655744,0.3267925828567868,0.14605923794092557,0.1256920432326691,0.5464145137281915,13,0.00287709970636289,0.166558446198162,0.254020547938539,7.288366317749023,5.168040752410889,1.4102764794080993
fullKTA,checkerboard,0,100,0,5,6,0.8333333333333334,0.4666666666666667,0.4444444444444444,0.5031055900621118,0.502262443438914,0.003354114136440742,0.003354114136440742,1.0828383393916983,10.009432460518468,10800,4.1979451179504395,0.6771169526776732,28,10.009432460518468,8.506739316261308,0.1433935045607389,0.23671666936974162,0.31338215422114213,0.14674656072174727,0.1440695268476735,0.6376949986426068,13,0.003354114136440742,0.14339350451812455,0.23671666929939303,6.962100982666016,4.7010178565979,1.4809773532115378
fullKTA,checkerboard,0,100,0,6,7,0.9,0.5333333333333333,0.5248868778280543,0.5714285714285714,0.5610859728506787,0.003971362037846509,0.003971362037846509,1.1602683268651202,11.066770751799313,12600,4.243274927139282,0.7113979593572143,28,11.066770751799313,9.504792476538984,0.1288891189682026,0.218148992650942,0.30902705787163304,0.15310835995179065,0.15642039125426013,0.5963890881606618,13,0.003971362037846509,0.12888911893585656,0.21814899259619525,6.525804042816162,4.329972267150879,1.50712375049659
fullKTA,checkerboard,0,100,0,7,8,0.9666666666666667,0.5333333333333333,0.5248868778280543,0.5714285714285714,0.5610859728506787,0.004738280623771246,0.004738280623771246,1.2837290372612882,10.772434609503094,14400,4.290018081665039,0.7704940626328659,27,10.772434609503094,8.992735062645206,0.11374108438793681,0.190673747658864,0.2952262223429386,0.1595921609852491,0.16159891972752977,0.43879214228464963,12,0.004738280623771246,0.11374108436401562,0.19067374761876288,6.080982208251953,4.011560440063477,1.5158645367821544
fullKTA,checkerboard,0,100,0,8,9,1.0,0.6333333333333333,0.6228571428571429,0.7102272727272727,0.6674208144796381,0.005565035946707205,0.005565035946707205,1.4553149615395318,10.391931565841404,16200,4.3355231285095215,0.8374486772792376,27,10.391931565841404,8.389766846696988,0.09332963687118843,0.16664312671167836,0.2698175544770893,0.15958269715157128,0.17442156616027174,0.4209259035563854,6,0.005565035946707205,0.09332963685447812,0.16664312668184156,5.661247253417969,3.72261118888855,1.5207731794054784
fullKTA,checkerboard,0,100,0,9,10,1.0,0.7333333333333333,0.7321428571428572,0.770334928229665,0.755656108597285,0.006296154608022208,0.006296154608022208,1.6526183716619705,10.124206803617684,18000,4.380594968795776,0.8879532057433064,26,10.124206803617684,7.872686940390707,0.07484905861570039,0.16965315508082254,0.2502623764138214,0.15504196852489024,0.2148910836028671,0.4481957337589422,6,0.006296154608022208,0.07484905860385638,0.16965315505397685,5.290267467498779,3.4880294799804688,1.5166923037378932
fullKTA,checkerboard,0,100,0,10,11,1.0,0.7666666666666667,0.7643097643097643,0.825,0.7941176470588236,0.006932449826659227,0.006932449826659227,1.8768321087354183,8.826647359785904,19800,4.427494049072266,0.9124312312654402,25,8.826647359785904,6.9491738424146305,0.05955863430313992,0.20715214893812428,0.2575654319843755,0.14746103714544764,0.28545451955709683,0.4489576898113704,6,0.006932449826659227,0.0595586342945811,0.20715214890835568,5.02400541305542,3.322411060333252,1.5121564796831548
fullKTA,checkerboard,0,100,0,11,12,1.0,0.8333333333333334,0.8331479421579533,0.8611111111111112,0.8529411764705883,0.007668019365246395,0.007668019365246395,2.1997800034770694,7.712766017550212,21600,4.475099086761475,0.9342959123177113,23,7.712766017550212,6.155652769877394,0.05146501723849547,0.26278770624105263,0.2960390353139924,0.14599257502840854,0.36075016863700415,0.4647519005911187,5,0.007668019365246395,0.051465017231809504,0.26278770620691316,4.838832855224609,3.2540414333343506,1.4870225085809272
fullKTA,checkerboard,0,100,0,12,13,1.0,0.8333333333333334,0.8331479421579533,0.8611111111111112,0.8529411764705883,0.008516574123067154,0.008516574123067154,2.6183718268947866,7.421744635003473,23400,4.522386074066162,0.9566968020697145,22,7.421744635003473,5.757006429868221,0.043110470288931356,0.334619763697904,0.3629316523816335,0.14211233265580495,0.4455527985730079,0.4455527985730079,1,0.008516574123067154,0.04311047028388889,0.33461976365876483,4.721523284912109,3.24800705909729,1.4536678027488328
fullKTA,checkerboard,0,100,0,13,14,1.0,0.8333333333333334,0.8331479421579533,0.8611111111111112,0.8529411764705883,0.009334091182043563,0.009334091182043563,3.0232261569986565,4.568529634621138,25200,4.5696330070495605,0.9807876536946281,20,4.568529634621138,3.326322597634495,0.024397399278061355,0.43994323437509486,0.45121857341130633,0.11205763588384468,0.5590353959343549,0.5608244839302605,4,0.009334091182043563,0.024397399275457633,0.4399432343281435,4.708125591278076,3.2220163345336914,1.4612357922629842
fullKTA,checkerboard,0,100,0,14,15,1.0,0.9,0.899888765294772,0.90625,0.9117647058823529,0.010106087390005042,0.010106087390005042,3.4703979182338607,3.8946924719808584,27000,4.615677833557129,0.9952643392789277,20,3.8946924719808584,2.477119769402571,0.012360358903869901,0.6151231293264294,0.6256556192507825,0.08260740361265333,0.7041670983857186,0.7041670983857186,1,0.010106087390005042,0.01236035890265153,0.6151231292657962,4.772181034088135,3.2027182579040527,1.4900408496155675
fullKTA,checkerboard,0,100,0,15,16,1.0,0.9666666666666667,0.9663299663299663,0.9642857142857143,0.9705882352941176,0.010941692642247059,0.010941692642247059,4.185731242390206,2.4795983592839748,28800,4.6620988845825195,1.0026626931431282,21,2.4795983592839748,1.5885935570639762,0.019726896806853408,0.8063697620021381,0.8120147022082493,0.1086348186570262,0.8229021243309166,0.8229021243309166,1,0.010941692642247059,0.019726896805057365,0.8063697619287219,4.800296783447266,3.336019992828369,1.4389292611451059
fullKTA,checkerboard,0,100,0,16,17,1.0,0.9666666666666667,0.9663299663299663,0.9642857142857143,0.9705882352941176,0.011663368678963053,0.011663368678963053,4.989875813511117,2.674200190827295,30600,4.708492040634155,1.0055103248420354,22,2.674200190827295,1.6976732857537178,0.06450123356731634,0.8246778314036812,0.8363532208460828,0.20232166726238407,0.8118216311546137,0.8118216311546137,1,0.011663368678963053,0.06450123356180697,0.8246778313332414,4.870497226715088,3.565195322036743,1.3661235323093823
fullKTA,checkerboard,0,100,0,17,18,1.0,0.9333333333333333,0.9330357142857143,0.9333333333333333,0.9411764705882353,0.01211473426683951,0.01211473426683951,5.509844429223488,3.233896099488442,32400,4.755239009857178,1.0052932150509972,22,3.233896099488442,2.058818428786817,0.13335712304552022,0.8119285826787934,0.8423539165312709,0.29388122500229735,0.7686695850570108,0.7686695850570108,1,0.01211473426683951,0.13335712303455355,0.8119285826120244,5.001518726348877,3.720022439956665,1.3444861710043328
fullKTA,checkerboard,0,100,0,18,19,1.0,0.9,0.899888765294772,0.90625,0.9117647058823529,0.012506863276541356,0.012506863276541356,6.065293094456048,3.307631394900512,34200,4.801092147827148,1.0050259612628374,23,3.307631394900512,2.1580920020111924,0.18314061954026,0.8350954543007827,0.8664913792675555,0.34775695021780995,0.7608461593054884,0.7608461593054884,1,0.012506863276541356,0.18314061952567137,0.8350954542342606,5.080053329467773,3.7779746055603027,1.3446499407353791
fullKTA,checkerboard,0,100,0,19,20,1.0,0.9333333333333333,0.9330357142857143,0.9333333333333333,0.9411764705882353,0.012929051827637206,0.012929051827637206,6.8798105161355645,2.99614126724523,36000,4.847449064254761,1.0078019517476986,20,2.99614126724523,2.0480438987648486,0.2132149717725496,0.876654945798996,0.8975292014574778,0.3807896694748681,0.7796241060168709,0.7796241060168709,1,0.012929051827637206,0.21321497175612,0.876654945731444,5.093832015991211,3.781188726425171,1.3471509582135293
fullKTA,checkerboard,0,100,0,20,21,1.0,1.0,1.0,1.0,1.0,0.013303394234840307,0.013303394234840307,7.776658433430237,2.6597332029094476,37800,4.892823934555054,1.0120585895416523,20,2.6597332029094476,1.9161907642032134,0.22767169944884755,0.9122700714048287,0.9200376887873991,0.39949718885866675,0.8022256584993223,0.8022256584993223,1,0.013303394234840307,0.22767169943179766,0.9122700713365105,5.079938888549805,3.7880845069885254,1.3410310353891615
fullKTA,checkerboard,0,100,0,21,22,1.0,1.0,1.0,1.0,1.0,0.013607766937079654,0.013607766937079654,8.702366291629364,2.4844486488814255,39600,4.9381890296936035,1.0132032924257286,20,2.4844486488814255,1.8488348062625586,0.23270823163129195,0.9297314584810453,0.9309076824102003,0.4097349620611409,0.8138968364176322,0.8138968364176322,1,0.013607766937079654,0.2327082316142546,0.9297314584129767,5.0564703941345215,3.8384006023406982,1.3173378492723542
