method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
centroidBasedKTA,corners,10.0,100,0.95,0.98,0.83,0.94,0.9399759903961584,0.94,0.9407051282051282,28.276820249999957,235100,0.1927756369113922,0.15839815139770508
greedyKTA,corners,2.0,10,0.95,0.98,0.83,0.91,0.9099189270343309,0.9097639055622249,0.9102564102564102,20.620933082999954,227056,0.19606539607048035,0.19983331859111786
greedyKTA,corners,4.0,10,0.95,0.99,0.83,0.91,0.9099189270343309,0.9097639055622249,0.9102564102564102,21.243997292000017,227070,0.19606539607048035,0.20438040792942047
greedyKTA,corners,6.0,10,0.95,0.97,0.83,0.9,0.8996386993175431,0.9009661835748792,0.8990384615384616,20.261730415999978,227092,0.19606539607048035,0.18482759594917297
greedyKTA,corners,8.0,10,0.95,0.97,0.83,0.87,0.8699869986998701,0.8705482192877151,0.8709935897435898,21.758645833999935,227122,0.19606539607048035,0.20398055016994476
greedyKTA,corners,10.0,10,0.95,0.94,0.83,0.85,0.8498648783905515,0.8555555555555556,0.8525641025641025,21.25462741700005,227160,0.19606539607048035,0.18926319479942322
fullKTA,corners,,20,0.95,0.99,0.83,0.95,0.9499549594635172,0.949779911964786,0.9503205128205128,18.14488675000007,427150,0.19606539607048035,0.37847936153411865
randomKTA,corners,2.0,20,0.95,0.93,0.83,0.85,0.8492613807657522,0.8654402645721373,0.8541666666666667,18.04801816700001,417056,0.19606539607048035,0.18781916797161102
randomKTA,corners,4.0,20,0.95,0.98,0.83,0.91,0.90999099909991,0.9105642256902762,0.9110576923076923,17.802391166999996,417070,0.19606539607048035,0.21966998279094696
randomKTA,corners,6.0,20,0.95,1.0,0.83,0.93,0.9299369432489241,0.9297719087635055,0.9302884615384616,17.74233954200008,417092,0.19606539607048035,0.2552313804626465
