eff_rank,participation_ratio,top1_label_energy,top2_label_energy,top3_label_energy,top1_alignment,top2_alignment,max_alignment,argmax_alignment_rank,kta_spectral,kta_top1_frac,kta_top2_frac,lambda1,lambda2,spectral_decay,method,dataset,epoch,centroids,test_accuracy,n_sv
4.299277924073733,3.18305407394381,0.08959910818747728,0.1403890938763377,0.14171661155030826,0.0986976191790516,0.08960747855477681,0.46366734589778047,14,0.002527655289562479,0.08959910815212634,0.14038909382094777,8.533151626586914,5.868251323699951,1.4541217060903384,fullKTA,checkerboard,1,4,0.43333333333333335,29
4.301651983822565,2.8431679559381355,0.08765606382710144,0.13210521274997614,0.13226369336954935,0.10993098877265468,0.09422524990868009,0.4864810766836607,14,0.0030794623774277794,0.08765606379871901,0.1321052127072014,7.723483085632324,5.330897808074951,1.4488146957031829,fullKTA,checkerboard,2,4,0.5,27
6.492924274153973,4.697624060603558,0.09977501108121323,0.14055363020568526,0.14144598948593312,0.1262545521636249,0.0973061305848022,0.5329438185189518,14,0.0034981920384732318,0.09977501105277738,0.1405536301656275,7.260935306549072,4.995937347412109,1.4533679671360924,fullKTA,checkerboard,3,4,0.4666666666666667,27
6.467630405794997,4.523852272659821,0.11790057966914196,0.165285423951718,0.16535442236854395,0.14313573732633647,0.10892086931274716,0.6814486704989605,14,0.003734268333548185,0.11790057963766763,0.16528542390759396,6.904442310333252,4.792102336883545,1.4407960900981065,fullKTA,checkerboard,4,4,0.5333333333333333,26
5.570811646391011,3.663310663207463,0.1335474938262026,0.18213810175056547,0.18235172415364964,0.15897236812775903,0.11465357950658712,0.6369879753832601,14,0.003992748130341508,0.13354749379286168,0.18213810170509362,6.620205879211426,4.630801200866699,1.4296026955272796,fullKTA,checkerboard,5,4,0.5666666666666667,24
4.765436165399232,2.6983843946505712,0.14620852122700842,0.18632196968983816,0.1901292770632329,0.1748274232915732,0.11000512831441896,0.5015919815365503,3,0.00435657807876333,0.1462085211935568,0.18632196964720882,6.42906379699707,4.455108642578125,1.443076771585798,fullKTA,checkerboard,6,4,0.5666666666666667,24
4.24941197588136,2.5704920548755847,0.15863022055207718,0.1815891473931669,0.21399521844228148,0.19254753009097186,0.08942467105036334,0.6475794244696629,13,0.004849113757041986,0.15863022051947137,0.18158914735584195,6.3174920082092285,4.239079475402832,1.4902980811907043,fullKTA,checkerboard,7,4,0.5666666666666667,25
5.199936374522269,3.674291505384165,0.16777386073290387,0.17154950096096475,0.3514916846225662,0.21050197840217555,0.03859689880391607,0.656627499978779,13,0.0054461645820289275,0.16777386070220066,0.17154950092957058,6.188108444213867,4.14220666885376,1.4939159097836032,fullKTA,checkerboard,8,4,0.5666666666666667,25
5.445767806018226,3.7205385258444736,0.17387565347755204,0.18061274220570406,0.6393532627862757,0.22927902290540303,0.05362244583422439,0.6282815317638035,13,0.006066518966366151,0.1738756534489881,0.18061274217603332,5.895040512084961,4.1759538650512695,1.4116632277524392,fullKTA,checkerboard,9,4,0.5666666666666667,23
5.471120156611685,3.7921516671648963,0.19320905761600798,0.20974679545275687,0.6573722102901236,0.2602344029544097,0.08747081781087374,0.5791795613774698,13,0.006770257672670525,0.19320905758756962,0.20974679542188432,5.538052558898926,4.195741653442383,1.3199222012046257,fullKTA,checkerboard,10,4,0.5666666666666667,23
5.611507436121984,4.033249836210547,0.21576091363674346,0.2352724947903179,0.6392598394114598,0.2941002174130549,0.09894357330516144,0.5146656399223968,13,0.00745691387630605,0.21576091360791244,0.23527249475887962,5.208187103271484,4.161230564117432,1.251597820169057,fullKTA,checkerboard,11,4,0.5666666666666667,24
5.647740279202445,4.228216639589684,0.22250638866733763,0.2476776944942987,0.6178184786443539,0.31361457716300783,0.11596578719684379,0.48529390901168734,2,0.007982265747015837,0.22250638863956404,0.2476776944633832,4.957559585571289,4.101700305938721,1.2086596327850156,fullKTA,checkerboard,12,4,0.6333333333333333,23
